zone_id,zone_name,area_m2,dist_alimentacion,walkdist_alimentacion,access_alimentacion,proximity_alimentacion,dist_farmacia,walkdist_farmacia,access_farmacia,proximity_farmacia,dist_salud,walkdist_salud,access_salud,proximity_salud,dist_educacion,walkdist_educacion,access_educacion,proximity_educacion,dist_parque,walkdist_parque,access_parque,proximity_parque,dist_transporte,walkdist_transporte,access_transporte,proximity_transporte,services_count,score_15min,score_familia,score_estudiante,score_persona_mayor,cluster,zone_key,district_name,sale_eur_m2,rent_eur_m2,source,notes,has_housing_data,housing_data_status,rent_eur_m2_clean,sale_eur_m2_clean
B001,LA CREU COBERTA,374885.4482594542,331.67776593578134,331.67776593578134,1,0.8618009308600911,184.2427166029168,184.2427166029168,1,0.9232322014154514,866.4229296822476,866.4229296822476,1,0.6389904459657302,254.47009805995197,254.47009805995197,1,0.89397079247502,397.4775339400814,397.4775339400814,1,0.8343843608582995,0.0,0.0,1,1.0,6,100.0,85.39253607518197,87.76368048994279,85.09411128460707,0,CREU COBERTA,JESUS,1545.0,7.9,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,7.9,1545.0
B002,LA FONTETA S.LLUIS,238824.4183227799,160.3406535015864,160.3406535015864,1,0.9331913943743391,186.93334398980346,186.93334398980346,1,0.9221111066709152,457.5124767640928,457.5124767640928,1,0.8093698013482946,272.00253498079564,272.00253498079564,1,0.8866656104246685,123.28058302402333,123.28058302402333,1,0.948633090406657,32.38275252816757,32.38275252816757,1,0.9865071864465969,6,100.0,91.08964117536374,92.02545556510302,91.34147480985119,0,FONTETA SLLUIS,QUATRE CARRERES,1370.0,8.8,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,8.8,1370.0
B003,RAFALELL-VISTABELLA,2124468.7953189174,2084.0246519657126,2084.0246519657126,0,0.1316563950142864,2200.625087474023,2200.625087474023,0,0.08307288021915704,4931.454133703001,4931.454133703001,0,0.0,723.171541935642,723.171541935642,1,0.6986785241934825,1310.791146721834,1310.791146721834,0,0.45383702219923583,530.7556707788463,530.7556707788463,1,0.7788518038421474,2,33.33333333333333,37.594099917497445,42.48198618189853,29.147546289381626,3,RAFALELL VISTABELLA,,,,,,0,Sin datos de vivienda,,
B004,CAMI DE VERA,827031.9850546262,989.5661429482903,989.5661429482903,1,0.5876807737715457,863.7410677096781,863.7410677096781,1,0.6401078884543008,1267.2921740102147,1267.2921740102147,0,0.47196159416241057,660.7097534604654,660.7097534604654,1,0.7247042693914727,1024.9173614084589,1024.9173614084589,1,0.5729510994131422,807.20018363345,807.20018363345,1,0.6636665901527292,5,83.33333333333334,61.281457124253734,62.663480052515766,59.38715358182603,0,CAMI DE VERA,BENIMACLET,2068.0,8.9,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,8.9,2068.0
B005,BENIMAMET,1477191.5686163735,169.89142218383964,169.89142218383964,1,0.9292119074234002,317.9429716881137,317.9429716881137,1,0.8675237617966193,182.12006791425574,182.12006791425574,1,0.9241166383690601,359.5715105064478,359.5715105064478,1,0.8501785372889801,15.477144327820264,15.477144327820264,1,0.9935511898634082,196.87043851974647,196.87043851974647,1,0.9179706506167723,6,100.0,91.29329483765093,90.83986883015119,91.69015939120531,0,BENIMAMET,,,,,,0,Sin datos de vivienda,,
B006,BENIFERRI,533945.5579801189,863.5793257672934,863.5793257672934,1,0.6401752809302944,662.9906431796293,662.9906431796293,1,0.7237538986751545,677.43522226982,677.43522226982,1,0.7177353240542417,398.8994323794524,398.8994323794524,1,0.8337919031752281,330.99899994951676,330.99899994951676,1,0.8620837500210347,400.37702542054683,400.37702542054683,1,0.8331762394081055,6,100.0,77.56835053812617,77.44728680593482,75.35147764436834,0,BENIFERRI,,,,,,0,Sin datos de vivienda,,
B007,EL PALMAR,36961639.71905103,2413.152188458456,2413.152188458456,0,0.0,2412.693549830595,2412.693549830595,0,0.0,12186.46637369265,12186.46637369265,0,0.0,5051.308535800003,5051.308535800003,0,0.0,5353.5178777697765,5353.5178777697765,0,0.0,314.29565944136834,314.29565944136834,1,0.8690434752327632,1,16.666666666666664,12.414906789039474,19.75098807347189,16.66658719624477,3,PALMAR,,,,,,0,Sin datos de vivienda,,
B008,EL SALER,8247660.455508569,395.1473251788408,395.1473251788408,1,0.835355281175483,397.4066695692865,397.4066695692865,1,0.834413887679464,10507.946304121282,10507.946304121282,0,0.0,3356.9517673111613,3356.9517673111613,0,0.0,3674.9978081984086,3674.9978081984086,0,0.0,195.10153033397998,195.10153033397998,1,0.918707695694175,3,50.0,36.97824092213032,46.182105925688084,50.783765202563224,3,SALER,,,,,,0,Sin datos de vivienda,,
B009,EL PERELLONET,4928204.351112923,8388.664223844931,8388.664223844931,0,0.0,2133.6208025198207,2133.6208025198207,0,0.11099133228340807,18161.978409079125,18161.978409079125,0,0.0,11026.82057118648,11026.82057118648,0,0.0,11329.02991315625,11329.02991315625,0,0.0,1055.0071454000274,1055.0071454000274,1,0.5604136894166553,1,16.666666666666664,9.591500310000905,14.082024241692565,13.180346532010551,2,PERELLONET,,,,,,0,Sin datos de vivienda,,
B010,CIUTAT FALLERA,496907.7422952865,121.13969010156605,121.13969010156605,1,0.9495251291243475,684.125490728826,684.125490728826,1,0.7149477121963226,938.2186232538073,938.2186232538073,1,0.609075573644247,0.0,0.0,1,1.0,426.43080704117136,426.43080704117136,1,0.8223204970661786,97.38279212148998,97.38279212148998,1,0.9594238366160458,6,100.0,84.6257716070835,87.81274145755583,81.07306566486582,0,CIUTAT FALLERA,BENICALAP,1301.0,8.7,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,8.7,1301.0
